リファレンス,値,コンポーネント,フットプリント,秋月,最小数,マルツ,RS,Amazon,SS,check
"ANT1, ",SAM-M10Q,SAM-M10Q-00B,SAM-M10Q-00B:SAM-M10Q-00B,,1,https://www.marutsu.co.jp/pc/i/42439094/,,,,
"BT1, ",ML1220,ML-1220_F1AN,ML-1220_F1AN:ML-1220_F1AN,,1,,,www.amazon.co.jp/dp/B01N9YCTLF,,y
"C6, C7, ",10μ,C_Polarized_Small,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,P-15828,2,,,,,y
"C8, ",47μ,C_Polarized_Small,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,P-15832,1,,,,,y
"C9, C16, ",220μ,C_Polarized_Small,Capacitor_THT:CP_Radial_D12.5mm_P5.00mm,P-15836,2,,,,,y
"D1, ","CUHS20S30,H3F","CUHS20S30,H3F",CUHS20S30:CUHS20S30,I-16304,1,,,,,y
"D2, ",PPS,LED_Small,LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,I-09637,1,,,,,y
"F1, ",Polyfuse,Polyfuse_Small,ASMDC300F_24-2:ASMDC300F_24-2,,1,https://www.marutsu.co.jp/pc/i/26261557/,,,,
"FL1, ",DLW5BTM142TQ2L,DLW5BTM142TQ2L,DLW5BTM142TQ2:DLW5BTM142TQ2,P-15303,1,,,,,y
"FL2, ",BNX025H01L,BNX025H01L,BNX025H01:BNX025H01,,1,https://www.marutsu.co.jp/pc/i/15910225/,,,,
"J1, ","USB PD",UJC-HP-3-SMT-TR,USB_TypeC_6PIN:USB_TypeC_6PIN,C-16438,1,,,,,y
"J2, J9, J10, J11, ",Conn_01x03,Conn_01x03,B03B-PASK-1:B03B-PASK-1,,4,,https://jp.rs-online.com/web/p/pcb-headers/5128591,,,y
"J3, ",Conn_01x02,Conn_01x02,Connector_AMASS:AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,,1,,,www.amazon.co.jp/dp/B09XHLZRTX,,y
"J4, J5, ",Micro_SD_Card_Det_Hirose_DM3AT,Micro_SD_Card_Det_Hirose_DM3AT,Connector_Card:microSD_HC_Hirose_DM3AT-SF-PEJM5,C-02395,2,,,,,y
"J6, J7, ",Conn_01x02,Conn_01x02,Connector_JST:JST_XA_S02B-XASK-1_1x02_P2.50mm_Horizontal,,2,,https://jp.rs-online.com/web/p/pcb-headers/6028183,,,y
"J8, ",43223-6113,43223-6113,Molex_6P6C_Right_Angle_TH_RJ11_Modular_Jack_Connector_6Ports:Molex_6P6C_Right_Angle_TH_RJ11_Modular_Jack_Connector,,1,https://www.marutsu.co.jp/pc/i/33212673/,,,,
"L1, ",47μH,L_Small,NR10050T470M:NR10050T470M,P-08322,1,,,,,y
"Q1, ",AO3400A,AO3400A,AO3400A:AO3400A,I-14653,1,,,,,y
"S1, S2, S3, ",B3AL,B3AL-1002P-MS,B3AL-1002P-MS:B3AL-1002P-MS,,3,https://www.marutsu.co.jp/pc/i/26749528/,,,,
"S4, ",POWER,RS_PRO_PCB_Slide_Switch_SPDT_Latching_3A_120V_ac_Top,RS_PRO_PCB_Slide_Switch_SPDT_Latching_3A_120V_ac_Top:RS_PRO_PCB_Slide_Switch_SPDT_Latching_3A_120V_ac_Top,,1,,https://jp.rs-online.com/web/p/slide-switches/7347343,,,y
"S5, ",A6S-7104-H,A6S-7104-H,A6S-7104-H:A6S-7104-H,,1,https://www.marutsu.co.jp/GoodsDetail.jsp?q=A6S-7104-H&salesGoodsCode=31581594&shopNo=3,,,,
"S6, ",A6S3104H,A6S3104H,A6S-3104-H:A6S-3104-H,,1,,https://jp.rs-online.com/web/p/dip-sip-switches/6821005,,,y
"U1, ",ICP-10111,SEN0516,Fermion_Pressure_Sensor_ICP_10111:Fermion_Pressure_Sensor_ICP_10111,,1,,,,ICP-10111,
"U2, ",IP2721D,IP2721D,IP2721:IP2721,,1,,,www.amazon.co.jp/dp/B09R436NCP,,y
"U3, ",BNO055,Akizuki_BNO055,Akizuki_BNO055:Akizuki_BNO055,K-16996,1,,,,,y
"U7, ",YDA142,YDA142,YDA142:YDA142,I-11089,1,,,,,y
"U8, U11, U13, ",MAX3485,MAX3485,MAX3485ECSA:MAX3485ECSA,I-16211,3,,,,,y
"U9, ",TC7S14F,SN74LVC1G14DBV,TC7S14F:TC7S14F,I-14737,1,,,,,y
"U10, U12, U14, ",LTC1480CN8#PBF,MAX485E,Package_DIP:DIP-8_W7.62mm_LongPads,I-16602,3,,,,,y
"U15, ",ADS1120IPWR,ADS1120IPWR,ADS1120IPWR:ADS1120IPWR,I-15389,1,,,,,y
"VR1, ",LT1963AEST-3.3#PBF,LT1963AEST-3.3#PBF,LT1963AEST-3.3_PBF:LT1963AEST-3.3_PBF,I-16060,1,,,,,y
,,,S2B-PH-SM4-TB,C-12810,1,,,,,y
,,,ADS122U04IPWR,,1,https://www.marutsu.co.jp/pc/i/30458555/,,,,
,,,"1000pF 1608",P-14581,,,,,,y
,,,"0.47uF 1608",,,https://www.marutsu.co.jp/pc/i/2260446/,,,,
,,,"1uF 1608",P-16994,,,,,,y
,,,"4.7uF 1608",P-09218,,,,,,y
,,,"0.1uF 1608",P-16143,,,,,,y
,,,"0.01uF 1608",P-13387,,,,,,y
,,,ソルダーペースト,,,https://www.marutsu.co.jp/pc/i/34375797/,,,,
