,,,,,check,
,,抵抗,数,値,,
,,"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R23, R24, R25, R27, R28, R29, R30, R32, R34, R35, R38, R39, R41,",24,10k,,
,,"R2, R46, R47,",3,2.2k,,
,,"R3,",1,4.7k,,
,,"R4,",1,8.2k,,
,,"R5,",1,1.8k,,
,,"R6, R7,",2,5.1k,,
,,"R8, R9,",2,33,,
,,"R20, R21, R22, R44, R45,",5,22,,
,,"R26,",1,100k,,
,,"R31, R33, R36, R37, R40,",5,120,,
,,"R42,",1,1.4k,,
,,"R43,",1,1k,,
,,"R48, R49, R50, R51, R52,",5,47,,
,,セラミックコンデンサ,数,値,,
,,"C1, C10, C11, C12, C13, C14, C15, C17,C24,C25",10,1μ,y,
,,"C2, C3,",2,4.7μ,y,
,,"C4, C5, C18, C19, C20, C21, C22, C23,",8,0.1μ,y,
,,,,0.47uF,y,
,,,,1000pF,y,
,,,,,,
