"Alps Alpine ポテンショメーター 10kΩ 0.05W",RK09K1130A8G,,https://jp.rs-online.com/web/p/potentiometers/7293599
USB1125-GF-B,USB1125-GF-B,,https://www.digikey.jp/ja/products/detail/gct/USB1125-GF-B/12819955
"Molex RJ11コネクタ",43814-6621,,https://jp.rs-online.com/web/p/ethernet-connectors/8006898
,,,https://www.marutsu.co.jp/pc/i/10084662/
,,,
ADS122U04IPW,,,アリエク
"スライドスイッチ　６０１１Ｓ１Ｍ１ＲＥ－Ｇ",P-15365,在庫なし,https://akizukidenshi.com/catalog/g/gP-15365/
"ＰＡコネクタ　コンタクト　ＳＰＨＤ－００２Ｔ－Ｐ０．５　（１００個入）",C-14439,"1F 24 売場 3段目",https://akizukidenshi.com/catalog/g/gC-14439/
"ＰＨコネクタ　コンタクト　ＳＰＨ－００２Ｔ－Ｐ０．５Ｌ　（１０個入）",C-12809,"1F 24 売場 5段目",
"ＰＡコネクタ　ハウジング　３Ｐ　ＰＡＰ－０３Ｖ－Ｓ",C-15008,店員にお問い合わせください,https://akizukidenshi.com/catalog/g/gC-15008/
"基板取付用ボリューム　１０ｋΩＡ",P-14773,"1F 15 売場 キャビネット上段",https://akizukidenshi.com/catalog/g/gP-14773/
"基板取付用ボリューム　１０ｋΩＢ",P-14827,"1F 15 売場 キャビネット上段",https://akizukidenshi.com/catalog/g/gP-14827/
"メタルツマミ（金属ツマミ・ノブ）　Ｋ－２９－６．１　Φ１３．７×１３．５ｍｍ　アルミ削り出し",P-12202,"1F 14 売場 キャビネット上段",
"２．１ｍｍ標準ＤＣジャック（４Ａ）　基板取付用　ＭＪ－１７９ＰＨ",C-06568,"1F 11 売場 キャビネット下段",
"スイッチングＡＣアダプター９Ｖ１．３Ａ　１００～２４０Ｖ　ＮＰ１２－ＵＳ０９１３",M-17777,在庫なし,
"超小型スイッチングＡＣアダプター９Ｖ０．６５Ａ　１００～２４０Ｖ　ＧＦ０６－ＵＳ０９０６５Ａ",M-03681,"1F 28 台車売場下段",
"20Ω 3W",,,
"330Ω 1/2W",,,
"56Ω 1/4W",,,
"オーディオ用無極性電解コンデンサー１０００μＦ２５Ｖ８５℃　ニチコンＭＵＳＥ・ＥＳ",P-04632,"1F 10 売場 下段 3個まで",
"オーディオ用電解コンデンサー２２０μＦ２５Ｖ８５℃　ニチコンＭＵＳＥ・ＫＺ",P-04609,"1F 10 売場 キャビネット下段",
"ＥＭＩフィルタ　ブロックタイプエミフィル　ＢＮＸ０２８－０１Ｌ",P-15625,"1F 19 売場 5段目",
"コモンモードチョーク（ノイズフィルタ）　ＤＬＷ５ＢＴＭ１４２ＴＱ２",P-15303,"1F 19 売場 3段目",
基板用ＲＣＡジャック（赤）RJ-2410N/R,C-02385,"1F 11 売場 キャビネット下段",
"基板用ＲＣＡジャック　白　MJ-523-W",C-16497,店員にお問い合わせください,
pico,,,
"３．５ｍｍステレオミニジャック　ＭＪ－３５２Ｗ－Ｏ",C-08958,"1F 11 売場 キャビネット下段",
